date,doorsTime,showTime,venue,address,city,region,country,lineup,status,ageRestriction,ticketUrl,ticketLabel,infoUrl,infoLabel,notes
6/18/2026,,6:00 PM,Campbell Club,1670 Alder St,Eugene,OR,US,Pretty Suspect; Oathbound,Upcoming,All Ages,,,,,"Pretty Suspect and Oathbound are bringing their Myspace Tour to Eugene, OR on Thursday, June 18 at The Campbell Club. Expect a loud, sweaty, full-send night of heavy hooks, sharp edges, and Myspace-era chaos brought back to life. This is an all-ages experience, so pull up early and bring the pit energy."
6/19/2026,6:00 PM,6:30 PM,520 Events Center,1238 Price Rd SE,Albany,OR,US,Pretty Suspect; Oathbound; Cosmic Waste; Hide Heaven; Drawn by Knives; Dead Nexus,Upcoming,All Ages,https://pnwdynamic.com/event/oathbound-cosmic-waste-hide-heaven-drawn-by-knives-dead-nexus-pretty-suspect/,Tickets,,,"Pretty Suspect and Oathbound are bringing their Myspace Tour to Albany, Oregon on Friday, June 19 at The 520. Brace yourselves for a night of crushing riffs, thunderous drums, soaring vocals, and the distortion we all live for. Dynamic Booking is bringing it back with an absolutely stacked lineup featuring Pretty Suspect, Oathbound, Cosmic Waste, Hide Heaven, Drawn by Knives, and Dead Nexus. Doors open at 6:00 PM, music kicks off at 6:30 PM. This is an all-ages event, with a 21+ bar section available for those with valid ID. Presale tickets are $10 and door tickets are $20. Tag your crew, lock in your presale tickets, and let’s pack The 520 for another unforgettable night."
6/20/2026,,6:30 PM,Smashed Live,6412 Tupelo Dr,Citrus Heights,CA,US,Salt; Pretty Suspect; Oathbound; Hallway Scene,Upcoming,All Ages,,,,,"Pretty Suspect and Oathbound are bringing their Myspace Tour to Citrus Heights, CA on Saturday, June 20 at Smashed Live. Salt joins the bill for a night built on big riffs, heavy momentum, and the kind of room-shaking energy that makes a small venue feel massive. Tickets are $15 and only available at the door for this all-ages experience."
6/21/2026,,6:00 PM,Humdinger Brewing SLO Taproom,855 Capitolio Way STE 1,San Luis Obispo,CA,US,Pretty Suspect; Oathbound,Upcoming,All Ages,,,,,"Pretty Suspect and Oathbound are bringing their Myspace Tour to San Luis Obispo on Sunday, June 21 at Humdinger Brewing. The Myspace Tour rolls into SLO with a loud, high-voltage night of heavy music, sharp hooks, and plenty of chaos for the front row. This is an all-ages experience."
6/22/2026,6:30 PM,7:00 PM,Transplants Brewing Company,40242 La Quinta Ln Unit 101,Palmdale,CA,US,Pretty Suspect; Oathbound; Revelry,Upcoming,All Ages,https://www.ticketweb.com/event/free-show-pretty-suspect-transplants-brewing-company-tickets/14928993,Tickets,,,"Pretty Suspect and Oathbound are bringing their Myspace Tour to Palmdale, CA on Monday, June 22 at Transplants Brewing. Pretty Suspect, Oathbound, and Revelry are serving up a free all-ages night packed with distortion, movement, and Myspace-core mayhem. Doors open at 6:30 PM and the show starts at 7:00 PM."
6/23/2026,,8:00 PM,The Escondite,410 Boyd St,Los Angeles,CA,US,Pretty Suspect; Oathbound; Daybreak Ends,Upcoming,21+,,,,,"Pretty Suspect and Oathbound are bringing their Myspace Tour to Los Angeles, CA on Tuesday, June 23 at The Escondite. This free 21+ show brings the tour into LA for a gritty night of heavy sounds, throwback attitude, and no-room-for-boring energy. Come loud, come ready."
6/25/2026,,8:00 PM,McGuffie's Live,8515 Navajo Rd,San Diego,CA,US,Pretty Suspect; Oathbound,Upcoming,21+,,,,,"Pretty Suspect and Oathbound are bringing their Myspace Tour to San Diego, CA on Thursday, June 25 at McGuffie's Live. The tour hits San Diego with a 21+ night of heavy hooks, loud guitars, and the kind of live energy that deserves to be felt in the room. Tickets are $5 at the door."
6/26/2026,,7:00 PM,Old Ironsides,1901 10th St,Sacramento,CA,US,Pretty Suspect; Oathbound,Upcoming,21+,,,,,"Pretty Suspect and Oathbound are bringing their Myspace Tour to Sacramento, CA on Friday, June 26 at Old Ironsides. Get ready for a 21+ night of distortion, grit, and full-volume tour chaos as the Myspace Tour takes over one of Sacramento’s classic rooms."
6/27/2026,,7:30 PM,Rockafairy Hall,31 W 6th St,Medford,OR,US,Pretty Suspect; Oathbound,Upcoming,All Ages,,,,,"Pretty Suspect and Oathbound are bringing their Myspace Tour to Medford, Oregon on Saturday, June 27 at The Rockafairy. This all-ages stop brings the tour’s blend of heavy riffs, visual spectacle, and early-internet scene energy to Medford for one loud Saturday night."
6/28/2026,5:30 PM,,Dante's,350 W Burnside St,Portland,OR,US,Pretty Suspect; Oathbound; Hangfire; Foghorn,Upcoming,21+,https://www.ticketweb.com/event/oathbound-with-hangfire-foghorn-dantes-tickets/14931943,Tickets,,,"Pretty Suspect and Oathbound are bringing their Myspace Tour to Portland, OR on Sunday, June 28 at Dante's. The Myspace Tour closes out this run at Dante’s with Pretty Suspect, Oathbound, Hangfire, and Foghorn bringing a 21+ night of heavy music, sharp hooks, and end-of-tour fire."
